item,trial type,max time,text,shuffle 1,instruct_1,responses_1,instruct_2,responses_2,instruct_3,responses_3,survey,weight,
2,instruct,user,Thank you for participating in this experiment.,off,,,,,,,,,
0,survey,user,,off,,,,,,,info_consent_py2rm_2020.csv,,
2,instruct,user,"In this experiment you'll be asked press down your <b>index</b> or <b>middle</b> fingers on some keys, and to lift them in response to a number on the screen. Please follow the instructions and response as quickly as possible. <br><br> You are about to have some practice trials.",off,,,,,,,,,
258 to 261,finger_imitation,user,,practice,,,,,,,,2,
0,instruct,user,"You have completed the practice trials! If you're not sure you understand the task please do contact the researcher before proceeding <br><br> Click ""Proceed"" to start the main experiment.",off,,,,,,,,,
2 to 65,finger_imitation,user,,trials,,,,,,,,,
0,instruct,user,You have completed the 1st of 4 blocks of trials. Please take a break if you'd like to.,off,,,,,,,,,
66 to 129,finger_imitation,user,,trials,,,,,,,,,
0,instruct,,You have completed the 2nd of 4 blocks of trials. Please take a break if you'd like to.,,,,,,,,,,
130 to 193,finger_imitation,user,,trials,,,,,,,,,
0,instruct,,You have completed the 3rd of 4 blocks of trials. Please take a break if you'd like to.,,,,,,,,,,
194 to 257,finger_imitation,user,,trials,,,,,,,,,
0,instruct,user,You're most of the way! We just need have some questions about the faces you just saw and a couple of questionnaires,off,,,,,,,,,
2 to 17,rate_face,user,,rate_faces,What ethnicity does this look most like to you?,Afro-Caribbean|Caucasian|East Asian (e.g. China)|South Asian (e.g. India)|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,How frequently do you interact with people from this ethnic group?,1 - almost never|2|3|4|5|6|7 - Daily,,,
0,survey,user,,off,,,,,,,aq_tidied.csv,,
0,instruct,user,"Please complete the questionnaire <a class=""btn btn-primary"" target=""_blank"" href=""https://forms.office.com/Pages/ResponsePage.aspx?id=xDv6T_zswEiQgPXkP_kOX4iwBGRO5-NFl2OBto3gpIBUQk03WjRLNE1JWExNVTRZRzdKVEg3MExWSC4u"">here</a> and then come back here to finish the experiment. <br><br> Once you've completed the questionnaire please click on ""Proceed"".",off,,,,,,,,,
,,,,,,,,,,,,,